LSOA code,LSOA name,forecast_month,pred_next,fill_color
W01000298,Flintshire 001B,2026-02-01,8.350744847855559,"[255, 231, 231, 180]"
W01000299,Flintshire 019A,2026-02-01,3.7921943292429714,"[255, 238, 238, 180]"
W01000300,Flintshire 019B,2026-02-01,3.3047778078151335,"[255, 239, 239, 180]"
W01000301,Flintshire 006E,2026-02-01,5.980824335774846,"[255, 234, 234, 180]"
W01000302,Flintshire 013F,2026-02-01,4.083590945112289,"[255, 238, 238, 180]"
W01000303,Flintshire 018A,2026-02-01,2.2628980002045815,"[255, 241, 241, 180]"
W01000304,Flintshire 003E,2026-02-01,53.3768675359679,"[255, 155, 155, 180]"
W01000305,Flintshire 003F,2026-02-01,11.424230605544905,"[255, 225, 225, 180]"
W01000306,Flintshire 002A,2026-02-01,18.748398777674193,"[255, 213, 213, 180]"
W01000307,Flintshire 020B,2026-02-01,3.8533133518803817,"[255, 238, 238, 180]"
W01000308,Flintshire 020C,2026-02-01,5.97446593869474,"[255, 234, 234, 180]"
W01000309,Flintshire 019C,2026-02-01,7.477244286336355,"[255, 232, 232, 180]"
W01000310,Flintshire 020D,2026-02-01,6.140389467787153,"[255, 234, 234, 180]"
W01000311,Flintshire 011A,2026-02-01,7.706405570515873,"[255, 232, 232, 180]"
